Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	1708	8346	6589	78.95	3.78	35.80	242514	0
200	grid	1776	8350	6526	78.16	3.76	30.75	230400	0
300	grid	1770	8374	6552	78.24	3.82	30.73	243714	0
400	grid	1778	8421	6582	78.16	3.80	28.76	245062	0
500	grid	1740	8400	6605	78.63	3.80	34.00	240867	0
600	grid	1720	8327	6548	78.64	3.67	27.47	230607	0
700	grid	1756	8404	6598	78.51	3.78	37.20	242278	0
800	grid	1771	8499	6673	78.52	3.85	36.48	241216	0
900	grid	1728	8466	6681	78.92	3.80	31.41	236007	0
1000	grid	1840	8385	6493	77.44	3.76	33.79	244228	0
