Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	878	9050	8105	89.56	3.00	15.41	149769	0
200	grid	864	9058	8126	89.71	3.01	14.76	149438	0
300	grid	883	9074	8127	89.56	3.00	13.62	150085	0
400	grid	890	9104	8144	89.46	2.99	15.45	150485	0
500	grid	887	9142	8192	89.61	3.05	18.66	150427	0
600	grid	892	9071	8123	89.55	3.00	18.69	150699	0
700	grid	895	9091	8133	89.46	2.98	14.86	152342	0
800	grid	918	9155	8172	89.26	3.03	17.51	149960	0
900	grid	879	9091	8146	89.61	3.04	18.15	148603	0
1000	grid	867	9102	8171	89.77	3.01	16.79	149874	0
