Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	1314	6714	5335	79.46	4.50	34.94	276605	0
200	grid	1321	6682	5310	79.47	4.41	36.61	281509	0
300	grid	1336	6746	5358	79.42	4.34	35.28	274061	0
400	grid	1302	6643	5282	79.51	4.44	39.14	276214	0
500	grid	1340	6766	5362	79.25	4.46	31.55	277207	0
600	grid	1308	6684	5306	79.38	4.49	34.58	281451	0
700	grid	1288	6752	5409	80.11	4.41	32.62	274470	0
800	grid	1294	6659	5300	79.59	4.43	31.85	274324	0
900	grid	1350	6734	5326	79.09	4.47	38.40	275229	0
1000	grid	1345	6732	5325	79.10	4.51	35.05	282249	0
