Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	1243	4825	3560	73.78	4.25	42.70	249767	0
200	grid	1233	4865	3610	74.20	4.31	45.26	250958	0
300	grid	1238	4798	3538	73.74	4.13	39.54	250084	0
400	grid	1230	4821	3567	73.99	4.22	41.38	249562	0
500	grid	1200	4772	3550	74.39	4.10	38.72	251013	0
600	grid	1203	4821	3596	74.59	4.25	40.92	254885	0
700	grid	1218	4746	3506	73.87	4.14	38.82	249626	0
800	grid	1240	4810	3548	73.76	4.25	43.32	253151	0
900	grid	1232	4816	3561	73.94	4.19	35.66	246463	0
1000	grid	1254	4807	3527	73.37	4.22	36.89	252065	0
