Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	1422	8546	7096	83.03	4.10	36.77	227411	0
200	grid	1478	8619	7111	82.50	4.12	35.53	229020	0
300	grid	1468	8623	7128	82.66	4.12	40.85	224053	0
400	grid	1439	8620	7156	83.02	4.14	35.04	228795	0
500	grid	1442	8560	7092	82.85	4.09	34.20	227790	0
600	grid	1449	8585	7109	82.81	4.07	41.15	226737	0
700	grid	1386	8646	7230	83.62	4.12	30.61	229871	0
800	grid	1418	8618	7171	83.21	4.13	39.07	223303	0
900	grid	1395	8653	7225	83.50	4.13	39.86	230436	0
1000	grid	1406	8583	7146	83.26	4.14	36.30	227293	0
