Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	4465	10047	5384	53.59	3.57	35.11	404040	0
200	4404	10006	5395	53.92	3.61	35.84	414289	0
300	4392	10033	5455	54.37	3.55	33.46	416338	0
400	4456	10059	5409	53.77	3.54	35.08	403514	0
500	4457	9987	5337	53.44	3.59	32.79	404408	0
600	4400	10054	5466	54.37	3.51	43.79	402059	0
700	4396	10059	5465	54.33	3.60	35.52	405917	0
800	4483	10072	5389	53.50	3.59	39.58	416124	0
900	4475	10068	5403	53.67	3.53	36.73	400127	0
1000	4400	10009	5412	54.07	3.56	29.19	405742	0
