Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	5223	9025	3564	39.49	3.51	35.85	321403	0
200	5241	9045	3567	39.44	3.63	34.46	324886	0
300	5212	9063	3616	39.90	3.57	39.13	325196	0
400	5155	9063	3670	40.49	3.66	35.82	323708	0
500	5225	9068	3604	39.74	3.63	40.03	327064	0
600	5207	9092	3648	40.12	3.65	34.71	323450	0
700	5164	9088	3683	40.53	3.67	33.46	320084	0
800	5244	9041	3558	39.35	3.61	36.76	324061	0
900	5217	9048	3592	39.70	3.60	37.60	324663	0
1000	5196	9042	3612	39.95	3.63	35.23	324588	0
