Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	3671	12718	8867	69.72	3.39	25.78	338179	0
200	3648	12672	8850	69.84	3.44	27.27	342345	0
300	3627	12621	8839	70.03	3.47	25.72	343027	0
400	3636	12693	8878	69.94	3.55	40.79	343538	0
500	3734	12659	8751	69.13	3.41	26.83	331300	0
600	3750	12656	8736	69.03	3.50	30.82	346436	0
700	3753	12685	8754	69.01	3.49	30.32	335949	0
800	3641	12647	8822	69.76	3.43	31.54	344083	0
900	3660	12656	8855	69.97	3.48	33.13	335612	0
1000	3573	12666	8917	70.40	3.40	31.27	331300	0
