Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	3957	12013	7946	66.15	4.00	45.39	385961	0
200	3930	12077	8041	66.58	4.11	47.99	389625	0
300	3975	12069	7947	65.85	4.17	53.95	383812	0
400	3951	12003	7923	66.01	4.05	54.40	392439	0
500	3946	12006	7963	66.33	3.93	49.69	390338	0
600	3939	12085	8038	66.51	4.08	46.65	376240	0
700	3936	12021	7990	66.47	3.93	50.02	386341	0
800	4004	12089	7968	65.91	4.03	41.80	392368	0
900	3926	12103	8070	66.68	3.99	44.73	382177	0
1000	3884	12069	8060	66.78	3.98	49.96	375945	0
