Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	1517	3484	1915	54.97	3.70	19.61	148978	0
200	1506	3483	1924	55.24	3.66	25.22	150350	0
300	1510	3487	1927	55.26	3.70	28.61	149949	0
400	1509	3489	1930	55.32	3.74	24.77	151654	0
500	1515	3484	1919	55.08	3.71	28.85	153806	0
600	1505	3486	1930	55.36	3.78	22.70	149453	0
700	1517	3491	1925	55.14	3.74	28.41	145738	0
800	1508	3488	1931	55.36	3.78	29.09	150119	0
900	1503	3479	1923	55.27	3.73	25.99	148667	0
1000	1514	3484	1919	55.08	3.71	22.61	150362	0
