Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	1327	3760	2410	64.10	4.14	29.48	173181	0
200	1320	3747	2404	64.16	4.17	22.89	173521	0
300	1327	3743	2393	63.93	4.12	23.50	174074	0
400	1321	3757	2413	64.23	4.13	22.83	168964	0
500	1326	3745	2395	63.95	3.90	20.37	172149	0
600	1320	3749	2403	64.10	4.35	18.04	172642	0
700	1337	3751	2390	63.72	4.15	23.20	175179	0
800	1309	3751	2418	64.46	4.30	23.20	171486	0
900	1345	3755	2387	63.57	4.11	22.39	173352	0
1000	1319	3772	2430	64.42	4.22	24.38	166516	0
