Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	1069	4045	2915	72.06	4.72	21.63	157461	0
200	1094	4024	2866	71.22	4.87	30.45	159351	0
300	1065	4050	2921	72.12	4.64	16.09	160176	0
400	1084	4048	2898	71.59	4.72	23.97	155545	0
500	1099	4022	2856	71.01	4.81	19.62	158910	0
600	1065	4017	2888	71.89	4.62	20.03	156259	0
700	1060	4041	2913	72.09	4.84	23.71	155976	0
800	1062	4038	2911	72.09	4.57	20.65	158177	0
900	1078	4034	2892	71.69	4.66	24.13	156261	0
1000	1081	4037	2892	71.64	4.75	22.22	156675	0
