Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	2255	3529	1127	31.94	4.38	23.98	115812	0
200	2250	3535	1138	32.19	4.34	23.71	116741	0
300	2255	3530	1128	31.95	4.23	23.57	116080	0
400	2257	3532	1128	31.94	4.37	24.34	116606	0
500	2275	3536	1114	31.50	4.34	21.79	115008	0
600	2257	3528	1124	31.86	4.27	22.09	117730	0
700	2264	3535	1124	31.80	4.34	24.29	114547	0
800	2248	3533	1138	32.21	4.30	23.76	117889	0
900	2258	3534	1129	31.95	4.36	24.10	116289	0
1000	2262	3533	1123	31.79	4.34	19.45	116982	0
