Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	1111	4211	3072	72.95	3.55	19.94	135638	0
200	1136	4219	3053	72.36	3.49	12.33	138445	0
300	1133	4204	3034	72.17	3.49	12.91	135511	0
400	1145	4202	3022	71.92	3.53	15.18	136612	0
500	1124	4238	3082	72.72	3.58	19.54	135647	0
600	1138	4215	3047	72.29	3.61	21.53	135229	0
700	1135	4219	3053	72.36	3.48	14.00	137254	0
800	1127	4227	3069	72.60	3.56	18.65	135948	0
900	1144	4210	3040	72.21	3.58	18.17	135539	0
1000	1122	4218	3062	72.59	3.46	14.61	136220	0
