Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop100	grid	3550	6006	2291	38.15	3.24	25.15	208116	0
200	grid	3531	6023	2327	38.64	3.35	21.57	210976	0
300	grid	3541	6019	2313	38.43	3.21	21.01	211886	0
400	grid	3520	6041	2354	38.97	3.32	24.88	209864	0
500	grid	3518	6059	2376	39.21	3.32	25.82	208923	0
600	grid	3541	6010	2305	38.35	3.24	20.30	210895	0
700	grid	3515	6009	2329	38.76	3.26	26.87	211091	0
800	grid	3517	6039	2356	39.01	3.41	26.09	210687	0
900	grid	3524	6047	2358	38.99	3.36	24.34	209815	0
1000	grid	3526	6024	2333	38.73	3.24	23.03	211418	0
