Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	2736	8169	5276	64.59	3.03	21.70	171205	0
200	grid	2706	8151	5297	64.99	2.99	21.00	166674	0
300	grid	2685	8146	5314	65.23	2.95	17.52	172136	0
400	grid	2700	8157	5308	65.07	3.03	18.31	171744	0
500	grid	2687	8144	5314	65.25	2.98	19.37	171115	0
600	grid	2721	8142	5271	64.74	2.95	21.97	169619	0
700	grid	2702	8152	5299	65.00	3.00	17.32	169309	0
800	grid	2691	8146	5303	65.10	3.06	20.31	173038	0
900	grid	2682	8143	5313	65.25	3.01	16.11	167930	0
1000	grid	2757	8171	5265	64.44	3.03	23.11	171205	0
