Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop100	grid	3019	7341	4180	56.94	3.82	26.70	264717	0
200	grid	3074	7301	4093	56.06	3.85	30.63	262182	0
300	grid	3066	7395	4192	56.69	3.95	33.43	267894	0
400	grid	3162	7284	3990	54.78	3.99	33.46	244947	0
500	grid	2986	7265	4147	57.08	3.75	29.56	256147	0
600	grid	3010	7276	4132	56.79	3.82	37.25	264334	0
700	grid	3067	7327	4128	56.34	3.98	38.83	261216	0
800	grid	3027	7290	4128	56.63	3.91	38.93	268547	0
900	grid	3014	7319	4173	57.02	3.82	31.60	264536	0
1000	grid	3008	7321	4179	57.08	3.95	30.37	270149	0
