Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	3142	6642	3353	50.48	3.62	24.65	235356	0
200	grid	3085	6602	3366	50.98	3.63	21.02	236450	0
300	grid	3119	6631	3370	50.82	3.61	21.72	236629	0
400	grid	3126	6576	3301	50.20	3.55	24.56	228702	0
500	grid	3111	6586	3333	50.61	3.63	26.38	238605	0
600	grid	3101	6627	3378	50.97	3.57	22.59	237564	0
700	grid	3136	6635	3350	50.49	3.65	25.12	239262	0
800	grid	3113	6630	3365	50.75	3.63	23.42	234296	0
900	grid	3111	6608	3353	50.74	3.53	22.42	236118	0
1000	grid	3145	6604	3316	50.21	3.54	23.41	238990	0
