Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	2859	7577	4577	60.41	3.61	24.90	207109	0
200	grid	2833	7610	4637	60.93	3.79	25.71	206862	0
300	grid	2844	7546	4557	60.39	3.60	22.01	205921	0
400	grid	2801	7606	4659	61.25	3.72	25.85	204732	0
500	grid	2838	7648	4660	60.93	3.78	27.18	207525	0
600	grid	2854	7519	4522	60.14	3.42	21.90	197388	0
700	grid	2861	7622	4609	60.47	3.54	21.07	204101	0
800	grid	2855	7623	4627	60.70	3.64	29.63	204653	0
900	grid	2871	7572	4560	60.22	3.58	25.67	204581	0
1000	grid	2831	7594	4622	60.86	3.61	29.01	207488	0
