Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
lambda 0.3
100	grid	2528	8085	5416	66.99	4.08	30.82	276148	0
200	grid	2487	8113	5482	67.57	4.11	38.99	275415	0
300	grid	2546	8064	5392	66.87	4.05	30.70	275085	0
400	grid	2515	8176	5526	67.59	4.25	36.87	274656	0
500	grid	2483	8120	5507	67.82	4.00	40.49	269003	0
600	grid	2544	8095	5410	66.83	4.04	34.72	264566	0
700	grid	2482	8122	5505	67.78	4.13	41.35	280116	0
800	grid	2488	8154	5530	67.82	4.16	53.47	270932	0
900	grid	2539	8076	5413	67.03	3.95	35.83	271693	0
1000	grid	2470	8042	5444	67.69	3.82	37.15	277421	0
lambda 0.1
1100	grid	2771	7827	4885	62.41	3.73	32.45	213057	0
1200	grid	2740	7867	4959	63.04	3.78	24.47	215547	0
1300	grid	2777	7821	4869	62.26	3.75	26.11	219241	0
1400	grid	2728	7829	4928	62.95	3.70	32.32	215539	0
1500	grid	2752	7875	4954	62.91	3.89	28.47	218492	0
1600	grid	2794	7900	4936	62.48	3.82	34.56	218875	0
1700	grid	2751	7867	4947	62.88	3.80	30.24	216391	0
1800	grid	2760	7848	4911	62.58	3.83	24.51	219588	0
1900	grid	2770	7855	4912	62.53	3.79	29.68	217394	0
2000	grid	2819	7862	4872	61.97	3.84	31.19	219335	0
lambda 0.2
2100	grid	2562	8024	5307	66.14	3.87	34.53	246061	0
2200	grid	2614	7991	5232	65.47	3.83	27.19	249507	0
2300	grid	2581	7966	5236	65.73	3.95	27.38	238260	0
2400	grid	2612	8040	5280	65.67	3.86	21.92	242339	0
2500	grid	2554	8005	5294	66.13	3.94	33.66	248103	0
2600	grid	2617	8028	5274	65.70	3.93	40.58	243516	0
2700	grid	2604	7978	5218	65.40	3.77	31.08	240060	0
2800	grid	2582	7973	5250	65.85	3.83	27.91	233201	0
2900	grid	2586	8006	5272	65.85	3.89	31.92	245456	0
3000	grid	2595	7940	5187	65.33	3.76	22.96	241604	0
lambda 0.4
3100	grid	2563	8108	5420	66.85	4.36	42.54	322639	0
3200	grid	2558	8135	5473	67.28	4.27	46.40	324096	0
3300	grid	2565	8091	5401	66.75	4.16	52.05	319688	0
3400	grid	2531	8165	5515	67.54	4.42	47.52	328405	0
3500	grid	2581	8099	5392	66.58	4.27	53.98	325278	0
3600	grid	2491	8198	5578	68.04	4.35	43.01	321258	0
3700	grid	2575	8123	5417	66.69	4.28	39.63	325981	0
3800	grid	2537	8159	5495	67.35	4.32	46.77	324168	0
3900	grid	2579	8093	5378	66.45	4.40	43.56	321338	0
4000	grid	2575	8175	5479	67.02	4.34	46.90	318536	0
lambda 0.5
4100	grid	2884	7993	5001	62.57	4.28	56.03	376672	0
4600	grid	2840	7949	4996	62.85	4.21	61.70	379625	0
4200	grid	2858	8002	5027	62.82	4.37	51.57	387434	0
4700	grid	2734	7973	5125	64.28	4.19	41.33	378534	0
4300	grid	2792	8003	5084	63.53	4.14	43.23	378676	0
4800	grid	2800	8029	5128	63.87	4.22	51.44	375634	0
4400	grid	2811	7949	5025	63.22	4.18	56.07	385971	0
4900	grid	2802	8025	5108	63.65	4.24	44.73	379071	0
5000	grid	2779	8010	5122	63.95	4.24	54.69	375980	0
4500	grid	2735	8065	5215	64.66	4.26	47.37	380489	0
