Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	2777	7515	4587	61.04	3.67	31.41	203943	0
200	grid	2816	7551	4596	60.87	3.71	30.62	197237	0
300	grid	2842	7570	4576	60.45	3.71	28.99	201944	0
400	grid	2763	7593	4669	61.49	3.72	27.08	200092	0
500	grid	2784	7594	4654	61.29	3.76	41.35	211892	0
600	grid	2781	7592	4654	61.30	3.61	32.25	199887	0
700	grid	2852	7555	4548	60.20	3.76	39.20	204626	0
800	grid	2755	7599	4687	61.68	3.78	37.46	204295	0
900	grid	2814	7558	4587	60.69	3.61	20.64	202893	0
1000	grid	2814	7564	4610	60.95	3.64	27.31	207395	0
