Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	3564	6117	2386	39.01	3.30	21.94	210815	0
200	grid	3531	6076	2380	39.17	3.30	26.46	208648	0
300	grid	3544	6075	2366	38.95	3.21	25.21	211247	0
400	grid	3540	6104	2398	39.29	3.32	25.02	213126	0
500	grid	3554	6087	2369	38.92	3.26	22.16	206815	0
600	grid	3538	6033	2330	38.62	3.29	31.44	212281	0
700	grid	3555	6059	2338	38.59	3.30	29.51	208694	0
800	grid	3538	6051	2347	38.79	3.26	23.98	210499	0
900	grid	3548	6040	2325	38.49	3.27	29.83	210144	0
1000	grid	3548	6091	2377	39.02	3.33	26.67	208637	0
