Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	3085	6540	3312	50.64	3.73	22.64	239537	0
200	grid	3110	6508	3254	50.00	3.80	25.19	228703	0
300	grid	3066	6568	3361	51.17	3.86	22.14	236062	0
400	grid	3179	6520	3197	49.03	3.73	28.91	239333	0
500	grid	3110	6569	3319	50.53	3.84	22.32	240064	0
600	grid	3101	6562	3324	50.66	3.71	24.33	230304	0
700	grid	3098	6580	3342	50.79	3.78	34.98	235934	0
800	grid	3103	6570	3325	50.61	3.77	25.08	237853	0
900	grid	3119	6577	3315	50.40	3.80	22.51	236427	0
1000	grid	3088	6542	3313	50.64	3.77	23.03	233894	0
