Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	2980	7327	4223	57.64	3.94	31.38	266101	0
200	grid	3040	7269	4104	56.46	3.84	22.22	261154	0
300	grid	3008	7278	4142	56.91	4.03	23.57	268907	0
400	grid	3017	7343	4198	57.17	4.07	39.41	258195	0
500	grid	2984	7305	4192	57.39	3.97	28.78	257110	0
600	grid	3214	7247	3905	53.88	3.99	28.50	247823	0
700	grid	2995	7289	4166	57.15	3.87	28.02	268729	0
800	grid	3006	7344	4214	57.38	3.98	38.38	257713	0
900	grid	2986	7333	4220	57.55	3.95	31.34	260419	0
1000	grid	3025	7250	4104	56.61	3.95	34.20	266340	0
