Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	2702	8127	5276	64.92	3.02	17.11	168541	0
200	grid	2705	8094	5235	64.68	3.03	20.97	168032	0
300	grid	2699	8134	5285	64.97	3.01	14.24	171952	0
400	grid	2744	8111	5226	64.43	3.03	20.15	167594	0
500	grid	2717	8079	5215	64.55	3.04	21.95	169073	0
600	grid	2683	8097	5270	65.09	3.06	25.75	170522	0
700	grid	2722	8116	5250	64.69	3.06	20.54	173024	0
800	grid	2647	8075	5290	65.51	3.10	20.78	172570	0
900	grid	2676	8094	5282	65.26	3.00	16.62	169800	0
1000	grid	2712	8094	5234	64.67	2.95	17.04	165151	0
