Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop100	grid	2630	8136	5345	65.70	3.03	23.01	182792	0
200	grid	2596	8118	5365	66.09	3.09	21.05	180178	0
300	grid	2618	8174	5365	65.63	3.01	20.74	181446	0
400	grid	2596	8160	5407	66.26	3.05	19.44	178598	0
500	grid	2577	8152	5419	66.47	3.12	25.38	179925	0
600	grid	2563	8180	5439	66.49	3.19	23.49	183392	0
700	grid	2604	8175	5409	66.17	3.18	19.30	184125	0
800	grid	2601	8142	5380	66.08	3.08	24.39	184151	0
900	grid	2641	8188	5388	65.80	3.04	22.16	179635	0
1000	grid	2585	8142	5379	66.06	3.11	17.73	179803	0
