Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	2998	7315	4186	57.22	3.88	27.76	269116	0
200	grid	3000	7387	4260	57.67	3.97	38.39	261840	0
300	grid	3050	7313	4133	56.52	3.91	34.43	265949	0
400	grid	3010	7355	4217	57.34	4.02	35.56	265624	0
500	grid	2963	7297	4199	57.54	3.92	38.77	268819	0
600	grid	2964	7356	4266	57.99	4.07	32.38	268667	0
700	grid	3034	7385	4221	57.16	4.04	38.15	270100	0
800	grid	2994	7392	4269	57.75	3.99	35.80	268802	0
900	grid	3017	7341	4191	57.09	3.94	26.26	268416	0
1000	grid	3032	7356	4197	57.06	4.09	26.08	264740	0
