Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop100	grid	3530	6052	2352	38.86	3.24	22.61	214108	0
200	grid	3532	6042	2339	38.71	3.26	23.64	214436	0
300	grid	3524	6029	2334	38.71	3.19	23.96	209912	0
400	grid	3522	6054	2362	39.02	3.23	21.17	213503	0
500	grid	3531	6031	2329	38.62	3.26	21.24	213818	0
600	grid	3517	6043	2356	38.99	3.20	21.18	212135	0
700	grid	3508	6027	2352	39.02	3.23	27.91	213637	0
800	grid	3517	6026	2339	38.82	3.28	21.83	208170	0
900	grid	3529	6056	2356	38.90	3.36	30.38	214989	0
1000	grid	3519	6027	2337	38.78	3.29	30.29	211765	0
