Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	3606	6205	2415	38.92	3.52	27.41	223785	0
200	3619	6235	2432	39.01	3.52	24.01	223820	0
300	3591	6240	2466	39.52	3.61	31.54	226361	0
400	3579	6203	2440	39.34	3.42	25.67	220926	0
500	3598	6259	2476	39.56	3.62	29.21	222863	0
600	3595	6193	2414	38.98	3.49	25.31	221472	0
700	3587	6227	2457	39.46	3.61	32.42	225508	0
800	3596	6200	2422	39.06	3.53	25.73	223569	0
900	3598	6212	2433	39.17	3.53	33.09	219161	0
1000	3617	6236	2438	39.10	3.67	29.04	225807	0
