Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	2528	8085	5416	66.99	4.08	30.82	276148	0
200	2487	8113	5482	67.57	4.11	38.99	275415	0
300	2546	8064	5392	66.87	4.05	30.70	275085	0
400	2515	8176	5526	67.59	4.25	36.87	274656	0
500	2483	8120	5507	67.82	4.00	40.49	269003	0
600	2544	8095	5410	66.83	4.04	34.72	264566	0
700	2482	8122	5505	67.78	4.13	41.35	280116	0
800	2488	8154	5530	67.82	4.16	53.47	270932	0
900	2539	8076	5413	67.03	3.95	35.83	271693	0
1000	2470	8042	5444	67.69	3.82	37.15	277421	0
