Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	2779	7285	4382	60.15	4.14	33.77	304233	0
200	2876	7200	4205	58.40	4.01	29.94	287673	0
300	2813	7314	4383	59.93	4.24	36.28	302953	0
400	2876	7287	4293	58.91	4.14	26.23	290227	0
500	2895	7253	4240	58.46	4.44	40.22	293509	0
600	2807	7317	4390	60.00	4.17	27.39	291857	0
700	2824	7296	4350	59.62	4.15	32.26	298165	0
800	2794	7289	4376	60.04	4.26	33.06	299470	0
900	2811	7343	4412	60.08	4.34	39.44	294800	0
1000	2824	7339	4397	59.91	4.27	25.47	301264	0
