Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	5776	15717	9773	62.18	4.02	56.23	531852	0
200	5668	15874	10053	63.33	4.15	54.71	525307	0
300	5735	15828	9942	62.81	4.28	54.73	543332	0
400	5735	15704	9822	62.54	4.04	55.82	520764	0
500	5963	15683	9572	61.03	4.10	51.02	519982	0
600	5654	15796	9983	63.20	4.15	62.92	534017	0
700	5810	15703	9742	62.04	4.04	57.10	546784	0
800	5800	15798	9851	62.36	4.28	50.91	540496	0
900	5780	15779	9864	62.51	4.27	58.06	550471	0
1000	5688	15851	10016	63.19	4.19	61.70	552148	0
