Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	6735	11615	4625	39.82	3.24	48.17	408305	0
200	6754	11654	4656	39.95	3.31	50.56	415691	0
300	6734	11624	4643	39.94	3.19	55.10	408913	0
400	6771	11714	4693	40.06	3.34	43.69	412673	0
500	6725	11712	4733	40.41	3.22	41.42	404058	0
600	6712	11680	4730	40.50	3.26	37.16	412102	0
700	6730	11745	4766	40.58	3.35	44.88	412397	0
800	6540	11365	4579	40.29	3.19	40.11	403548	0
900	6786	11769	4733	40.22	3.27	40.19	407352	0
1000	6518	11419	4670	40.90	3.31	39.35	400647	0
