Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	6345	13386	6791	50.73	3.50	31.08	492302	0
200	6438	13447	6755	50.23	3.43	34.88	489127	0
300	6393	13405	6751	50.36	3.42	37.91	494038	0
400	6271	13343	6823	51.14	3.40	35.77	504774	0
500	6329	13513	6914	51.17	3.47	37.12	500384	0
600	6424	13254	6566	49.54	3.42	41.32	485883	0
700	6403	13405	6748	50.34	3.33	28.58	486267	0
800	6376	13561	6916	51.00	3.47	38.09	495067	0
900	6312	13357	6771	50.69	3.57	32.30	489945	0
1000	6290	13439	6894	51.30	3.44	40.57	485642	0
