Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	6475	14324	7605	53.09	4.11	55.60	565364	0
200	6517	14162	7400	52.25	4.00	44.61	549752	0
300	6408	14320	7661	53.50	3.97	58.24	584446	0
400	6474	14321	7577	52.91	4.12	58.07	575091	0
500	6479	14261	7548	52.93	4.02	58.58	574045	0
600	6642	14068	7181	51.04	4.02	52.57	582135	0
700	6583	14294	7467	52.24	4.05	58.35	578901	0
800	6405	14263	7603	53.31	4.09	46.58	579392	0
900	6564	14201	7394	52.07	4.07	53.46	553583	0
1000	6536	14201	7412	52.19	4.06	47.39	560970	0
