Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	5200	16811	11324	67.36	3.53	43.99	443725	0
200	4958	16833	11596	68.89	3.50	35.49	444583	0
300	5139	16705	11311	67.71	3.49	42.71	448634	0
400	5236	16745	11224	67.03	3.49	41.61	444126	0
500	5108	16724	11347	67.85	3.50	50.01	449492	0
600	5106	16754	11355	67.77	3.49	41.41	445883	0
700	5172	16751	11289	67.39	3.47	35.79	458006	0
800	5190	16656	11186	67.16	3.46	37.67	451447	0
900	5260	16778	11222	66.89	3.55	50.05	448332	0
1000	5053	16772	11448	68.26	3.48	36.01	450530	0
